"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","10","10","4.0"
"2","61","61","16.0"
"3","282","282","42.0"
"4","1125","1125","64.0"
"5","3966","3966","107.0"
"6","12399","12399","193.0"
"7","34062","34062","431.0"
"8","81726","81726","1225.0"
"9","171200","171200","2916.0"
"10","314768","314768","5745.0"
"11","512672","512672","10879.0"
"12","747400","747400","17254.0"
"13","987088","987088","25454.0"
"14","1196320","1196320","33875.0"
"15","1351552","1351552","40608.0"
"16","1446880","1446880","46646.0"
"17","1494304","1494304","48664.0"
"18","1511584","1511584","50284.0"
"19","1516000","1516000","53278.0"
"20","1516000","1516000","54237.0"
