"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","31","31","18.0"
"2","172","172","54.0"
"3","705","705","59.0"
"4","2357","2357","96.0"
"5","6744","6744","275.0"
"6","17184","17184","498.0"
"7","40722","40722","1208.0"
"8","94062","94062","2863.0"
"9","219502","219502","8916.0"
"10","525220","525220","26232.0"
"11","1281679","1281679","82871.0"
"12","3141189","3141189","314498.0"
"13","7619665","7619665","1307898.0"
"14","18102431","18102431","5848350.0"
"15","41852688","41852688","2.6700839E7"
