"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","12","12","0.0"
"2","29","29","10.0"
"3","82","82","19.0"
"4","217","217","14.0"
"5","489","489","33.0"
"6","976","976","66.0"
"7","1633","1633","167.0"
"8","2398","2398","283.0"
"9","3168","3168","365.0"
"10","3773","3773","407.0"
"11","4346","4346","523.0"
"12","4770","4770","542.0"
"13","5165","5165","718.0"
"14","5517","5517","780.0"
"15","5878","5878","893.0"
"16","6189","6189","1052.0"
"17","6501","6501","984.0"
"18","6781","6781","1133.0"
"19","7073","7073","1130.0"
"20","7343","7343","1341.0"
"21","7627","7627","1242.0"
"22","7896","7896","1394.0"
"23","8186","8186","1625.0"
"24","8455","8455","1611.0"
"25","8739","8739","1700.0"
"26","9008","9008","1876.0"
"27","9298","9298","1803.0"
"28","9567","9567","1931.0"
"29","9851","9851","1933.0"
"30","10120","10120","2331.0"
"31","10410","10410","2412.0"
"32","10679","10679","2324.0"
"33","10963","10963","2477.0"
"34","11232","11232","2635.0"
"35","11522","11522","2879.0"
"36","11791","11791","3065.0"
"37","12075","12075","2981.0"
"38","12344","12344","3272.0"
"39","12634","12634","3290.0"
"40","12903","12903","3613.0"
"41","13187","13187","3956.0"
"42","13456","13456","4330.0"
"43","13746","13746","4068.0"
"44","14015","14015","4263.0"
"45","14299","14299","4306.0"
"46","14568","14568","4431.0"
"47","14858","14858","5188.0"
"48","15127","15127","5039.0"
"49","15411","15411","5185.0"
"50","15680","15680","5656.0"
"51","15970","15970","5608.0"
"52","16239","16239","5863.0"
"53","16523","16523","6154.0"
"54","16792","16792","6569.0"
"55","17082","17082","6491.0"
"56","17351","17351","6878.0"
"57","17635","17635","7097.0"
"58","17904","17904","7787.0"
"59","18194","18194","7832.0"
"60","18463","18463","8518.0"
"61","18747","18747","8051.0"
"62","19016","19016","8261.0"
"63","19306","19306","8561.0"
"64","19575","19575","8984.0"
"65","19859","19859","9259.0"
"66","20128","20128","9810.0"
"67","20418","20418","10290.0"
"68","20687","20687","10763.0"
"69","20971","20971","11392.0"
"70","21240","21240","11631.0"
"71","21530","21530","11989.0"
"72","21799","21799","12493.0"
"73","22083","22083","12719.0"
"74","22352","22352","12923.0"
"75","22642","22642","13573.0"
"76","22911","22911","13801.0"
"77","23195","23195","14886.0"
"78","23464","23464","14329.0"
"79","23754","23754","16079.0"
"80","24023","24023","17280.0"
"81","24307","24307","16334.0"
"82","24576","24576","17631.0"
"83","24866","24866","18416.0"
"84","25135","25135","17886.0"
"85","25419","25419","19592.0"
"86","25688","25688","19425.0"
"87","25978","25978","20667.0"
"88","26247","26247","21609.0"
"89","26531","26531","21827.0"
"90","26800","26800","22578.0"
"91","27090","27090","23925.0"
"92","27359","27359","24069.0"
"93","27643","27643","24760.0"
"94","27912","27912","25840.0"
"95","28202","28202","27016.0"
"96","28471","28471","27153.0"
"97","28755","28755","27659.0"
"98","29024","29024","29318.0"
"99","29314","29314","30336.0"
"100","29583","29583","30265.0"
