"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","8","6","64.0"
"2","49","31","14.0"
"3","152","113","18.0"
"4","327","257","32.0"
"5","586","540","26.0"
"6","909","1010","29.0"
"7","1309","1712","33.0"
"8","1785","2693","47.0"
"9","2337","3997","52.0"
"10","2965","5669","69.0"
"11","3669","7764","78.0"
"12","4449","10323","80.0"
"13","5305","13401","87.0"
"14","6237","17036","124.0"
"15","7245","21286","128.0"
"16","8329","26193","131.0"
"17","9489","31809","181.0"
"18","10725","38179","165.0"
"19","12037","45352","211.0"
"20","13425","53377","275.0"
"21","14889","62300","303.0"
"22","16429","72168","342.0"
"23","18045","83037","420.0"
"24","19737","94943","463.0"
"25","21505","107941","493.0"
"26","23349","122077","553.0"
"27","25269","137404","680.0"
"28","27265","153964","700.0"
"29","29337","171806","850.0"
"30","31485","190981","1017.0"
"31","33709","211534","1064.0"
"32","36009","233513","1148.0"
"33","38385","256968","1349.0"
"34","40837","281946","1768.0"
"35","43365","308496","1854.0"
"36","45969","336668","1895.0"
"37","48649","366498","2039.0"
"38","51405","398049","2351.0"
"39","54237","431364","2707.0"
"40","57145","466489","2742.0"
"41","60129","503470","3043.0"
"42","63189","542362","3681.0"
"43","66325","583204","3425.0"
"44","69537","626051","3526.0"
"45","72825","670951","4384.0"
"46","76189","717955","4736.0"
"47","79629","767096","5019.0"
"48","83145","818434","5150.0"
"49","86737","872018","5760.0"
"50","90405","927894","5974.0"
"51","94149","986105","6490.0"
"52","97969","1046705","6967.0"
"53","101865","1109740","7655.0"
"54","105837","1175260","8215.0"
"55","109885","1243308","9451.0"
"56","114009","1313935","9894.0"
"57","118209","1387190","9982.0"
"58","122485","1463123","11082.0"
"59","126837","1541773","11786.0"
"60","131265","1623198","11901.0"
"61","135769","1707440","12898.0"
"62","140349","1794548","13759.0"
"63","145005","1884581","14791.0"
"64","149737","1977564","15766.0"
"65","154545","2073564","16976.0"
"66","159429","2172622","17240.0"
"67","164389","2274785","18701.0"
"68","169425","2380103","20551.0"
"69","174537","2488630","20804.0"
"70","179725","2600403","21342.0"
"71","184989","2715475","22935.0"
"72","190329","2833897","24582.0"
"73","195745","2955711","25864.0"
"74","201237","3080968","27016.0"
"75","206805","3209718","29014.0"
"76","212449","3342005","29919.0"
"77","218169","3477881","31338.0"
"78","223965","3617391","33237.0"
"79","229837","3760588","34548.0"
"80","235785","3907509","35969.0"
"81","241809","4058211","37818.0"
"82","247909","4212739","41044.0"
"83","254085","4371143","42789.0"
"84","260337","4533471","42787.0"
"85","266665","4699771","45524.0"
"86","273069","4870090","49120.0"
"87","279549","5044476","52215.0"
"88","286105","5222976","52974.0"
"89","292737","5405641","52106.0"
"90","299445","5592513","55756.0"
"91","306229","5783645","57170.0"
"92","313089","5979087","57605.0"
"93","320025","6178883","62046.0"
"94","327037","6383082","64806.0"
"95","334125","6591729","66856.0"
"96","341289","6804877","67764.0"
"97","348529","7022570","73161.0"
"98","355845","7244860","77466.0"
"99","363237","7471794","80400.0"
"100","370705","7703417","80126.0"
